tag,name,trophies,donations,donationsReceived,donationsDelta,date
PQ0LL9Y2,Asgarabaddad,4261,67,80,-13,2018-03-19 19:43:00
UYC0QU8,pacheko,4257,108,80,28,2018-03-19 19:43:00
8RLVV20PY,Skoy,4254,100,120,-20,2018-03-19 19:43:00
J0JV0C8,Carlucciello,4241,78,80,-2,2018-03-19 19:43:00
RUJL8R9Y,El Mariachi,4183,46,80,-34,2018-03-19 19:43:00
LGV2GR0P,Rixy,4163,119,80,39,2018-03-19 19:43:00
GUG2QYPY,mitch,4163,168,120,48,2018-03-19 19:43:00
PQ2LULU,Raf ó Pipistrel,4123,10,40,-30,2018-03-19 19:43:00
GU8YYUPL,eiirp,4086,0,0,0,2018-03-19 19:43:00
LJ2P2UJQ,ninonà,4069,107,120,-13,2018-03-19 19:43:00
89YRQ9R0P,PEKKATORE,4069,20,40,-20,2018-03-19 19:43:00
2PYJLLCU,.:*AduVaN4Ik*:.,4067,68,80,-12,2018-03-19 19:43:00
2V98CPRV,maurito,4066,70,120,-50,2018-03-19 19:43:00
LQ2U2V2Y,cartero,4066,26,40,-14,2018-03-19 19:43:00
2Q90G92R,Massi,4065,0,0,0,2018-03-19 19:43:00
9JUUVUL2,dani11cali,4058,54,80,-26,2018-03-19 19:43:00
L0800PY9,peppebusa,4055,40,80,-40,2018-03-19 19:43:00
UJP8LVUL,macomaco,4041,44,40,4,2018-03-19 19:43:00
LC2JPCQ,moonknight1402,4040,116,80,36,2018-03-19 19:43:00
URG2UJJ2,antonio,4028,72,80,-8,2018-03-19 19:43:00
JCPYJLVG,TopAngy,4022,26,40,-14,2018-03-19 19:43:00
PCLR990U,AndiGarcia,3974,0,0,0,2018-03-19 19:43:00
CGP89PV0,Ivan,3973,0,40,-40,2018-03-19 19:43:00
LR82Q9C9,sally snow,3970,117,80,37,2018-03-19 19:43:00
82UUP9QLR,sydmirror,3960,56,80,-24,2018-03-19 19:43:00
PGQVY99V,cippi03,3936,90,40,50,2018-03-19 19:43:00
2QJU2YY92,Karma,3933,125,80,45,2018-03-19 19:43:00
9C9VJLJC,prince,3921,0,40,-40,2018-03-19 19:43:00
2CGJVY0Q,JoWood,3907,0,40,-40,2018-03-19 19:43:00
2CPR9L20,Red,3904,40,40,0,2018-03-19 19:43:00
RRJPLUVU,Daddorix,3877,64,80,-16,2018-03-19 19:43:00
RR0RUV,siraxl,3866,18,80,-62,2018-03-19 19:43:00
PCGG9QLG,$imone04,3837,11,80,-69,2018-03-19 19:43:00
