tag,name,trophies,donations,donationsReceived,donationsDelta,date
2QPCJ9CV9,Lord Albert,3804,130,80,50,2018-03-19 19:43:00
LVGP9Q9G,Porkys,3803,8,40,-32,2018-03-19 19:43:00
J892LVVU,hdd Crew,3793,36,80,-44,2018-03-19 19:43:00
ULGLPPP9,ciupi,3754,32,80,-48,2018-03-19 19:43:00
JGR8Q9U,Slang,3695,56,40,16,2018-03-19 19:43:00
2PQVUC0PV,ramelotto,3615,38,40,-2,2018-03-19 19:43:00
20RVR029R,Adrypok,4527,123,80,43,2018-03-19 20:33:00
22GQPCJJP,Shiuvan,4475,46,40,6,2018-03-19 20:33:00
8G2JCQ0Q2,Nakakata,4418,306,80,226,2018-03-19 20:33:00
9LG8QV2G,TheSonicSliver,4410,206,120,86,2018-03-19 20:33:00
80QQVCQ8G,Eisenheim,4390,192,80,112,2018-03-19 20:33:00
99888JG,Oliver,4320,26,80,-54,2018-03-19 20:33:00
Y2UV98Y0,Xernakam,4315,83,80,3,2018-03-19 20:33:00
2P92YJC,AndreQuadros,4294,34,80,-46,2018-03-19 20:33:00
PQ0LL9Y2,Asgarabaddad,4261,67,80,-13,2018-03-19 20:33:00
UYC0QU8,pacheko,4257,108,80,28,2018-03-19 20:33:00
8RLVV20PY,Skoy,4254,100,120,-20,2018-03-19 20:33:00
J0JV0C8,Carlucciello,4241,78,80,-2,2018-03-19 20:33:00
RUJL8R9Y,El Mariachi,4183,46,80,-34,2018-03-19 20:33:00
GUG2QYPY,mitch,4164,168,120,48,2018-03-19 20:33:00
LGV2GR0P,Rixy,4163,119,80,39,2018-03-19 20:33:00
PQ2LULU,Raf ó Pipistrel,4123,10,40,-30,2018-03-19 20:33:00
GU8YYUPL,eiirp,4086,0,8,-8,2018-03-19 20:33:00
LJ2P2UJQ,ninonà,4069,107,120,-13,2018-03-19 20:33:00
89YRQ9R0P,PEKKATORE,4069,20,40,-20,2018-03-19 20:33:00
2PYJLLCU,.:*AduVaN4Ik*:.,4067,68,80,-12,2018-03-19 20:33:00
2V98CPRV,maurito,4066,70,120,-50,2018-03-19 20:33:00
LQ2U2V2Y,cartero,4066,26,40,-14,2018-03-19 20:33:00
2Q90G92R,Massi,4065,0,0,0,2018-03-19 20:33:00
9JUUVUL2,dani11cali,4058,62,80,-18,2018-03-19 20:33:00
L0800PY9,peppebusa,4055,40,80,-40,2018-03-19 20:33:00
UJP8LVUL,macomaco,4041,44,40,4,2018-03-19 20:33:00
LC2JPCQ,moonknight1402,4040,116,80,36,2018-03-19 20:33:00
URG2UJJ2,antonio,4028,80,90,-10,2018-03-19 20:33:00
JCPYJLVG,TopAngy,4022,26,40,-14,2018-03-19 20:33:00
PCLR990U,AndiGarcia,3974,0,0,0,2018-03-19 20:33:00
CGP89PV0,Ivan,3973,0,40,-40,2018-03-19 20:33:00
LR82Q9C9,sally snow,3970,117,80,37,2018-03-19 20:33:00
82UUP9QLR,sydmirror,3960,56,80,-24,2018-03-19 20:33:00
PGQVY99V,cippi03,3936,90,40,50,2018-03-19 20:33:00
2QJU2YY92,Karma,3933,135,112,23,2018-03-19 20:33:00
9C9VJLJC,prince,3921,0,40,-40,2018-03-19 20:33:00
2CGJVY0Q,JoWood,3907,0,40,-40,2018-03-19 20:33:00
2CPR9L20,Red,3904,40,40,0,2018-03-19 20:33:00
RRJPLUVU,Daddorix,3877,64,80,-16,2018-03-19 20:33:00
RR0RUV,siraxl,3866,18,80,-62,2018-03-19 20:33:00
PCGG9QLG,$imone04,3837,11,80,-69,2018-03-19 20:33:00
2QPCJ9CV9,Lord Albert,3804,130,80,50,2018-03-19 20:33:00
LVGP9Q9G,Porkys,3803,16,40,-24,2018-03-19 20:33:00
J892LVVU,hdd Crew,3793,36,80,-44,2018-03-19 20:33:00
ULGLPPP9,ciupi,3784,32,80,-48,2018-03-19 20:33:00
JGR8Q9U,Slang,3695,56,40,16,2018-03-19 20:33:00
2PQVUC0PV,ramelotto,3615,38,40,-2,2018-03-19 20:33:00
20RVR029R,Adrypok,4527,123,80,43,2018-03-19 22:00:00
22GQPCJJP,Shiuvan,4475,46,40,6,2018-03-19 22:00:00
8G2JCQ0Q2,Nakakata,4418,306,80,226,2018-03-19 22:00:00
9LG8QV2G,TheSonicSliver,4410,206,120,86,2018-03-19 22:00:00
80QQVCQ8G,Eisenheim,4390,220,88,132,2018-03-19 22:00:00
Y2UV98Y0,Xernakam,4347,93,80,13,2018-03-19 22:00:00
99888JG,Oliver,4320,26,80,-54,2018-03-19 22:00:00
2P92YJC,AndreQuadros,4294,34,80,-46,2018-03-19 22:00:00
UYC0QU8,pacheko,4286,146,80,66,2018-03-19 22:00:00
PQ0LL9Y2,Asgarabaddad,4261,93,80,13,2018-03-19 22:00:00
8RLVV20PY,Skoy,4254,110,120,-10,2018-03-19 22:00:00
J0JV0C8,Carlucciello,4241,78,80,-2,2018-03-19 22:00:00
RUJL8R9Y,El Mariachi,4212,54,120,-66,2018-03-19 22:00:00
GUG2QYPY,mitch,4164,176,120,56,2018-03-19 22:00:00
LGV2GR0P,Rixy,4163,119,80,39,2018-03-19 22:00:00
PQ2LULU,Raf ó Pipistrel,4123,10,40,-30,2018-03-19 22:00:00
2V98CPRV,maurito,4094,80,120,-40,2018-03-19 22:00:00
GU8YYUPL,eiirp,4086,0,40,-40,2018-03-19 22:00:00
LJ2P2UJQ,ninonà,4069,107,120,-13,2018-03-19 22:00:00
89YRQ9R0P,PEKKATORE,4069,20,80,-60,2018-03-19 22:00:00
2PYJLLCU,.:*AduVaN4Ik*:.,4067,68,80,-12,2018-03-19 22:00:00
LQ2U2V2Y,cartero,4066,36,50,-14,2018-03-19 22:00:00
2Q90G92R,Massi,4065,0,0,0,2018-03-19 22:00:00
9JUUVUL2,dani11cali,4058,62,120,-58,2018-03-19 22:00:00
L0800PY9,peppebusa,4055,40,80,-40,2018-03-19 22:00:00
LC2JPCQ,moonknight1402,4040,136,120,16,2018-03-19 22:00:00
URG2UJJ2,antonio,4028,80,120,-40,2018-03-19 22:00:00
JCPYJLVG,TopAngy,4022,26,40,-14,2018-03-19 22:00:00
UJP8LVUL,macomaco,3982,44,40,4,2018-03-19 22:00:00
PCLR990U,AndiGarcia,3974,0,0,0,2018-03-19 22:00:00
CGP89PV0,Ivan,3973,0,40,-40,2018-03-19 22:00:00
LR82Q9C9,sally snow,3970,171,80,91,2018-03-19 22:00:00
PGQVY99V,cippi03,3936,90,40,50,2018-03-19 22:00:00
2QJU2YY92,Karma,3933,135,120,15,2018-03-19 22:00:00
82UUP9QLR,sydmirror,3930,56,120,-64,2018-03-19 22:00:00
9C9VJLJC,prince,3921,0,40,-40,2018-03-19 22:00:00
2CGJVY0Q,JoWood,3907,0,40,-40,2018-03-19 22:00:00
2CPR9L20,Red,3904,40,40,0,2018-03-19 22:00:00
RRJPLUVU,Daddorix,3877,128,80,48,2018-03-19 22:00:00
RR0RUV,siraxl,3866,18,80,-62,2018-03-19 22:00:00
PCGG9QLG,$imone04,3837,11,80,-69,2018-03-19 22:00:00
2QPCJ9CV9,Lord Albert,3804,138,80,58,2018-03-19 22:00:00
LVGP9Q9G,Porkys,3803,34,40,-6,2018-03-19 22:00:00
J892LVVU,hdd Crew,3793,36,80,-44,2018-03-19 22:00:00
ULGLPPP9,ciupi,3784,32,80,-48,2018-03-19 22:00:00
JGR8Q9U,Slang,3698,72,80,-8,2018-03-19 22:00:00
2PQVUC0PV,ramelotto,3615,38,40,-2,2018-03-19 22:00:00
20RVR029R,Adrypok,4527,151,117,34,2018-03-19 23:22:00
22GQPCJJP,Shiuvan,4475,46,40,6,2018-03-19 23:22:00
8G2JCQ0Q2,Nakakata,4450,306,120,186,2018-03-19 23:22:00
9LG8QV2G,TheSonicSliver,4410,242,120,122,2018-03-19 23:22:00
80QQVCQ8G,Eisenheim,4390,220,120,100,2018-03-19 23:22:00
Y2UV98Y0,Xernakam,4377,133,120,13,2018-03-19 23:22:00
99888JG,Oliver,4320,39,120,-81,2018-03-19 23:22:00
2P92YJC,AndreQuadros,4294,34,80,-46,2018-03-19 23:22:00
UYC0QU8,pacheko,4286,154,90,64,2018-03-19 23:22:00
PQ0LL9Y2,Asgarabaddad,4261,119,120,-1,2018-03-19 23:22:00
J0JV0C8,Carlucciello,4241,98,80,18,2018-03-19 23:22:00
8RLVV20PY,Skoy,4225,164,160,4,2018-03-19 23:22:00
RUJL8R9Y,El Mariachi,4212,54,120,-66,2018-03-19 23:22:00
GUG2QYPY,mitch,4164,176,120,56,2018-03-19 23:22:00
LGV2GR0P,Rixy,4163,119,80,39,2018-03-19 23:22:00
PQ2LULU,Raf ó Pipistrel,4123,10,40,-30,2018-03-19 23:22:00
2V98CPRV,maurito,4094,80,120,-40,2018-03-19 23:22:00
GU8YYUPL,eiirp,4086,0,40,-40,2018-03-19 23:22:00
LJ2P2UJQ,ninonà,4069,107,120,-13,2018-03-19 23:22:00
89YRQ9R0P,PEKKATORE,4069,20,80,-60,2018-03-19 23:22:00
2PYJLLCU,.:*AduVaN4Ik*:.,4067,68,80,-12,2018-03-19 23:22:00
LQ2U2V2Y,cartero,4066,36,80,-44,2018-03-19 23:22:00
2Q90G92R,Massi,4065,30,40,-10,2018-03-19 23:22:00
9JUUVUL2,dani11cali,4058,62,120,-58,2018-03-19 23:22:00
L0800PY9,peppebusa,4055,40,80,-40,2018-03-19 23:22:00
LC2JPCQ,moonknight1402,4040,136,120,16,2018-03-19 23:22:00
URG2UJJ2,antonio,4028,80,120,-40,2018-03-19 23:22:00
JCPYJLVG,TopAngy,4022,26,40,-14,2018-03-19 23:22:00
UJP8LVUL,macomaco,3982,44,40,4,2018-03-19 23:22:00
PCLR990U,AndiGarcia,3974,0,0,0,2018-03-19 23:22:00
CGP89PV0,Ivan,3973,0,40,-40,2018-03-19 23:22:00
LR82Q9C9,sally snow,3970,237,120,117,2018-03-19 23:22:00
PGQVY99V,cippi03,3936,90,40,50,2018-03-19 23:22:00
2QJU2YY92,Karma,3933,135,120,15,2018-03-19 23:22:00
82UUP9QLR,sydmirror,3930,56,120,-64,2018-03-19 23:22:00
9C9VJLJC,prince,3921,0,40,-40,2018-03-19 23:22:00
2CGJVY0Q,JoWood,3907,0,40,-40,2018-03-19 23:22:00
2CPR9L20,Red,3904,70,80,-10,2018-03-19 23:22:00
RRJPLUVU,Daddorix,3877,154,90,64,2018-03-19 23:22:00
RR0RUV,siraxl,3866,46,120,-74,2018-03-19 23:22:00
PCGG9QLG,$imone04,3837,11,80,-69,2018-03-19 23:22:00
2QPCJ9CV9,Lord Albert,3804,138,80,58,2018-03-19 23:22:00
LVGP9Q9G,Porkys,3803,34,40,-6,2018-03-19 23:22:00
J892LVVU,hdd Crew,3793,36,80,-44,2018-03-19 23:22:00
ULGLPPP9,ciupi,3784,32,80,-48,2018-03-19 23:22:00
JGR8Q9U,Slang,3727,146,80,66,2018-03-19 23:22:00
2PQVUC0PV,ramelotto,3615,38,40,-2,2018-03-19 23:22:00
22GQPCJJP,Shiuvan,4605,198,80,118,2018-03-20 15:43:00
20RVR029R,Adrypok,4502,169,160,9,2018-03-20 15:43:00
8G2JCQ0Q2,Nakakata,4450,306,160,146,2018-03-20 15:43:00
9LG8QV2G,TheSonicSliver,4410,348,200,148,2018-03-20 15:43:00
Y2UV98Y0,Xernakam,4379,233,200,33,2018-03-20 15:43:00
80QQVCQ8G,Eisenheim,4361,310,200,110,2018-03-20 15:43:00
99888JG,Oliver,4320,39,160,-121,2018-03-20 15:43:00
UYC0QU8,pacheko,4317,190,160,30,2018-03-20 15:43:00
2P92YJC,AndreQuadros,4294,42,120,-78,2018-03-20 15:43:00
PQ0LL9Y2,Asgarabaddad,4261,165,160,5,2018-03-20 15:43:00
J0JV0C8,Carlucciello,4241,126,120,6,2018-03-20 15:43:00
RUJL8R9Y,El Mariachi,4180,110,200,-90,2018-03-20 15:43:00
8RLVV20PY,Skoy,4137,252,240,12,2018-03-20 15:43:00
LGV2GR0P,Rixy,4134,293,158,135,2018-03-20 15:43:00
2PYJLLCU,.:*AduVaN4Ik*:.,4126,134,160,-26,2018-03-20 15:43:00
PQ2LULU,Raf ó Pipistrel,4123,10,40,-30,2018-03-20 15:43:00
L0800PY9,peppebusa,4117,118,160,-42,2018-03-20 15:43:00
LJ2P2UJQ,ninonà,4097,157,160,-3,2018-03-20 15:43:00
2V98CPRV,maurito,4094,90,160,-70,2018-03-20 15:43:00
GU8YYUPL,eiirp,4086,0,80,-80,2018-03-20 15:43:00
82UUP9QLR,sydmirror,4086,120,160,-40,2018-03-20 15:43:00
LQ2U2V2Y,cartero,4066,36,120,-84,2018-03-20 15:43:00
2Q90G92R,Massi,4065,72,80,-8,2018-03-20 15:43:00
9JUUVUL2,dani11cali,4058,148,200,-52,2018-03-20 15:43:00
LC2JPCQ,moonknight1402,4040,146,160,-14,2018-03-20 15:43:00
URG2UJJ2,antonio,4028,164,200,-36,2018-03-20 15:43:00
PCLR990U,AndiGarcia,4005,46,40,6,2018-03-20 15:43:00
JCPYJLVG,TopAngy,3992,52,80,-28,2018-03-20 15:43:00
CGP89PV0,Ivan,3973,0,80,-80,2018-03-20 15:43:00
LR82Q9C9,sally snow,3970,332,160,172,2018-03-20 15:43:00
2CGJVY0Q,JoWood,3966,62,80,-18,2018-03-20 15:43:00
89YRQ9R0P,PEKKATORE,3950,109,120,-11,2018-03-20 15:43:00
PGQVY99V,cippi03,3936,106,80,26,2018-03-20 15:43:00
9C9VJLJC,prince,3921,0,80,-80,2018-03-20 15:43:00
2QJU2YY92,Karma,3908,280,200,80,2018-03-20 15:43:00
2CPR9L20,Red,3904,126,120,6,2018-03-20 15:43:00
RRJPLUVU,Daddorix,3877,180,160,20,2018-03-20 15:43:00
UJP8LVUL,macomaco,3868,116,120,-4,2018-03-20 15:43:00
RR0RUV,siraxl,3866,66,160,-94,2018-03-20 15:43:00
PCGG9QLG,$imone04,3809,49,160,-111,2018-03-20 15:43:00
2QPCJ9CV9,Lord Albert,3808,230,120,110,2018-03-20 15:43:00
LVGP9Q9G,Porkys,3803,37,80,-43,2018-03-20 15:43:00
CVJVVRU2,ValeBuongio,3784,50,0,50,2018-03-20 15:43:00
JGR8Q9U,Slang,3758,180,120,60,2018-03-20 15:43:00
ULGLPPP9,ciupi,3753,81,160,-79,2018-03-20 15:43:00
J892LVVU,hdd Crew,3744,84,160,-76,2018-03-20 15:43:00
22GQPCJJP,Shiuvan,4664,504,200,304,2018-03-21 23:28:00
8G2JCQ0Q2,Nakakata,4544,456,280,176,2018-03-21 23:28:00
20RVR029R,Adrypok,4530,366,352,14,2018-03-21 23:28:00
9LG8QV2G,TheSonicSliver,4416,711,360,351,2018-03-21 23:28:00
PQ0LL9Y2,Asgarabaddad,4379,294,240,54,2018-03-21 23:28:00
2P92YJC,AndreQuadros,4352,122,240,-118,2018-03-21 23:28:00
Y2UV98Y0,Xernakam,4348,429,360,69,2018-03-21 23:28:00
GU8YYUPL,eiirp,4325,140,234,-94,2018-03-21 23:28:00
8RLVV20PY,Skoy,4312,480,400,80,2018-03-21 23:28:00
99888JG,Oliver,4286,101,280,-179,2018-03-21 23:28:00
9JUUVUL2,dani11cali,4237,286,360,-74,2018-03-21 23:28:00
RUJL8R9Y,El Mariachi,4237,196,350,-154,2018-03-21 23:28:00
80QQVCQ8G,Eisenheim,4232,597,360,237,2018-03-21 23:28:00
J0JV0C8,Carlucciello,4210,144,240,-96,2018-03-21 23:28:00
PQ2LULU,Raf ó Pipistrel,4205,36,80,-44,2018-03-21 23:28:00
2V98CPRV,maurito,4157,238,280,-42,2018-03-21 23:28:00
LC2JPCQ,moonknight1402,4101,235,280,-45,2018-03-21 23:28:00
2PYJLLCU,.:*AduVaN4Ik*:.,4100,252,240,12,2018-03-21 23:28:00
2Q90G92R,Massi,4091,172,160,12,2018-03-21 23:28:00
LGV2GR0P,Rixy,4073,403,296,107,2018-03-21 23:28:00
LQ2U2V2Y,cartero,4066,88,160,-72,2018-03-21 23:28:00
URG2UJJ2,antonio,4055,332,360,-28,2018-03-21 23:28:00
LJ2P2UJQ,ninonà,4038,205,200,5,2018-03-21 23:28:00
PCLR990U,AndiGarcia,4005,46,40,6,2018-03-21 23:28:00
Y8CGR9Y9,josue10,4005,0,40,-40,2018-03-21 23:28:00
89YRQ9R0P,PEKKATORE,4003,212,240,-28,2018-03-21 23:28:00
UJP8LVUL,macomaco,3984,255,240,15,2018-03-21 23:28:00
CGP89PV0,Ivan,3977,24,120,-96,2018-03-21 23:28:00
LR82Q9C9,sally snow,3970,416,280,136,2018-03-21 23:28:00
JCPYJLVG,TopAngy,3960,70,120,-50,2018-03-21 23:28:00
LVGP9Q9G,Porkys,3947,145,240,-95,2018-03-21 23:28:00
L0800PY9,peppebusa,3943,228,240,-12,2018-03-21 23:28:00
2CGJVY0Q,JoWood,3937,62,120,-58,2018-03-21 23:28:00
PGQVY99V,cippi03,3936,140,120,20,2018-03-21 23:28:00
82UUP9QLR,sydmirror,3930,296,320,-24,2018-03-21 23:28:00
9C9VJLJC,prince,3921,0,80,-80,2018-03-21 23:28:00
2CPR9L20,Red,3904,231,240,-9,2018-03-21 23:28:00
2QPCJ9CV9,Lord Albert,3902,395,280,115,2018-03-21 23:28:00
20UGP2P0Q,SCANDALOSA,3883,0,0,0,2018-03-21 23:28:00
ULGLPPP9,ciupi,3879,142,280,-138,2018-03-21 23:28:00
RR0RUV,siraxl,3866,162,280,-118,2018-03-21 23:28:00
2QJU2YY92,Karma,3853,416,320,96,2018-03-21 23:28:00
J892LVVU,hdd Crew,3843,141,320,-179,2018-03-21 23:28:00
CVJVVRU2,ValeBuongio,3839,92,40,52,2018-03-21 23:28:00
RRJPLUVU,Daddorix,3829,401,360,41,2018-03-21 23:28:00
PCGG9QLG,$imone04,3809,73,240,-167,2018-03-21 23:28:00
JGR8Q9U,Slang,3763,232,200,32,2018-03-21 23:28:00
22GQPCJJP,Shiuvan,4811,626,240,386,2018-03-22 14:09:00
20RVR029R,Adrypok,4532,492,400,92,2018-03-22 14:09:00
9LG8QV2G,TheSonicSliver,4416,791,440,351,2018-03-22 14:09:00
PQ0LL9Y2,Asgarabaddad,4378,370,280,90,2018-03-22 14:09:00
Y2UV98Y0,Xernakam,4377,477,400,77,2018-03-22 14:09:00
8G2JCQ0Q2,Nakakata,4376,484,320,164,2018-03-22 14:09:00
GU8YYUPL,eiirp,4325,160,280,-120,2018-03-22 14:09:00
99888JG,Oliver,4286,101,320,-219,2018-03-22 14:09:00
9JUUVUL2,dani11cali,4271,344,440,-96,2018-03-22 14:09:00
80QQVCQ8G,Eisenheim,4261,691,400,291,2018-03-22 14:09:00
PQ2LULU,Raf ó Pipistrel,4205,36,80,-44,2018-03-22 14:09:00
8RLVV20PY,Skoy,4200,581,440,141,2018-03-22 14:09:00
J0JV0C8,Carlucciello,4181,154,280,-126,2018-03-22 14:09:00
RUJL8R9Y,El Mariachi,4179,232,440,-208,2018-03-22 14:09:00
2P92YJC,AndreQuadros,4166,130,280,-150,2018-03-22 14:09:00
2PYJLLCU,.:*AduVaN4Ik*:.,4163,294,280,14,2018-03-22 14:09:00
2V98CPRV,maurito,4153,322,360,-38,2018-03-22 14:09:00
LC2JPCQ,moonknight1402,4132,255,320,-65,2018-03-22 14:09:00
2Q90G92R,Massi,4091,172,160,12,2018-03-22 14:09:00
LGV2GR0P,Rixy,4084,449,360,89,2018-03-22 14:09:00
LQ2U2V2Y,cartero,4066,146,200,-54,2018-03-22 14:09:00
URG2UJJ2,antonio,4055,396,440,-44,2018-03-22 14:09:00
LJ2P2UJQ,ninonà,4008,279,280,-1,2018-03-22 14:09:00
PCLR990U,AndiGarcia,4005,46,40,6,2018-03-22 14:09:00
2QJU2YY92,Karma,3999,617,440,177,2018-03-22 14:09:00
2CGJVY0Q,JoWood,3997,102,160,-58,2018-03-22 14:09:00
82UUP9QLR,sydmirror,3993,334,400,-66,2018-03-22 14:09:00
CGP89PV0,Ivan,3976,32,160,-128,2018-03-22 14:09:00
LR82Q9C9,sally snow,3970,492,320,172,2018-03-22 14:09:00
JCPYJLVG,TopAngy,3960,70,120,-50,2018-03-22 14:09:00
UJP8LVUL,macomaco,3954,255,240,15,2018-03-22 14:09:00
LVGP9Q9G,Porkys,3947,179,320,-141,2018-03-22 14:09:00
2CPR9L20,Red,3932,305,280,25,2018-03-22 14:09:00
9C9VJLJC,prince,3921,0,80,-80,2018-03-22 14:09:00
89YRQ9R0P,PEKKATORE,3918,212,280,-68,2018-03-22 14:09:00
20UGP2P0Q,SCANDALOSA,3913,28,40,-12,2018-03-22 14:09:00
PGQVY99V,cippi03,3905,204,160,44,2018-03-22 14:09:00
2QPCJ9CV9,Lord Albert,3902,463,320,143,2018-03-22 14:09:00
L0800PY9,peppebusa,3891,278,280,-2,2018-03-22 14:09:00
ULGLPPP9,ciupi,3879,142,280,-138,2018-03-22 14:09:00
RR0RUV,siraxl,3866,182,320,-138,2018-03-22 14:09:00
J892LVVU,hdd Crew,3843,141,320,-179,2018-03-22 14:09:00
RRJPLUVU,Daddorix,3830,449,400,49,2018-03-22 14:09:00
JGR8Q9U,Slang,3817,240,240,0,2018-03-22 14:09:00
CVJVVRU2,ValeBuongio,3811,148,80,68,2018-03-22 14:09:00
PCGG9QLG,$imone04,3809,73,280,-207,2018-03-22 14:09:00
